Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan
01/06/2017;5.829,71;5.749,42;5.831,34;5.668,72;74,57B;+1.60%
01/05/2017;5.738,15;5.703,87;5.874,44;5.577,52;132,92B;+0.93%
01/04/2017;5.685,30;5.583,35;5.726,53;5.577,49;126,79B;+2.10%
01/03/2017;5.568,11;5.389,17;5.606,02;5.350,91;182,09B;+3.37%
01/02/2017;5.386,69;5.319,94;5.418,38;5.317,50;331,63B;+1.75%
01/01/2017;5.294,10;5.290,39;5.360,06;5.228,29;252,89B;-0.05%
01/12/2016;5.296,71;5.168,63;5.334,79;5.022,85;127,39B;+2.87%
01/11/2016;5.148,91;5.430,75;5.491,70;5.043,35;198,64B;-5.05%
01/10/2016;5.422,54;5.403,86;5.482,84;5.332,08;208,10B;+1.08%
01/09/2016;5.364,80;5.368,52;5.474,31;5.128,17;99,83B;-0.40%
01/08/2016;5.386,08;5.280,21;5.476,22;5.279,59;130,29B;+3.26%
01/07/2016;5.215,99;5.027,62;5.334,12;4.971,58;82,08B;+3.97%
01/06/2016;5.016,65;4.801,85;5.033,24;4.754,36;102,55B;+4.58%
01/05/2016;4.796,87;4.828,96;4.845,12;4.690,56;66,16B;-0.86%
01/04/2016;4.838,58;4.843,39;4.920,40;4.766,81;86,92B;-0.14%
01/03/2016;4.845,37;4.760,24;4.908,26;4.757,80;83,63B;+1.56%
01/02/2016;4.770,96;4.620,15;4.803,61;4.545,14;63,65B;+3.38%
01/01/2016;4.615,16;4.580,17;4.639,24;4.408,80;53,13B;+0.48%
01/12/2015;4.593,01;4.504,22;4.595,51;4.330,76;45,64B;+3.30%
01/11/2015;4.446,46;4.442,42;4.621,26;4.395,97;59,94B;-0.20%
01/10/2015;4.455,18;4.231,41;4.696,16;4.207,80;91,85B;+5.48%
01/09/2015;4.223,91;4.484,20;4.484,79;4.033,59;70,83B;-6.34%
01/08/2015;4.509,61;4.778,04;4.868,07;4.111,11;71,84B;-6.10%
01/07/2015;4.802,53;4.924,07;4.982,91;4.711,49;63,44B;-2.20%
01/06/2015;4.910,66;5.212,13;5.215,55;4.826,13;68,55B;-5.86%
01/05/2015;5.216,38;5.093,33;5.347,13;5.089,42;77,16B;+2.55%
01/04/2015;5.086,42;5.516,80;5.524,04;5.015,01;90,22B;-7.83%
01/03/2015;5.518,67;5.452,83;5.518,67;5.350,47;99,81B;+1.25%
01/02/2015;5.450,29;5.277,15;5.464,22;5.254,04;81,35B;+3.04%
01/01/2015;5.289,40;5.233,80;5.325,04;5.121,81;110,07B;+1.19%
01/12/2014;5.226,95;5.150,38;5.226,95;5.005,27;100,99B;+1.50%
01/11/2014;5.149,89;5.102,54;5.157,08;4.965,39;80,04B;+1.19%
01/10/2014;5.089,55;5.148,57;5.165,39;4.900,72;75,97B;-0.93%
01/09/2014;5.137,58;5.159,94;5.262,57;5.082,73;78,63B;+0.01%
01/08/2014;5.136,86;5.076,23;5.223,98;5.043,52;71,65B;+0.94%
01/07/2014;5.088,80;4.877,65;5.165,42;4.862,42;76,99B;+4.31%
01/06/2014;4.878,58;4.900,97;4.971,95;4.835,04;59,40B;-0.31%
01/05/2014;4.893,91;4.845,34;5.091,32;4.828,22;62,43B;+1.11%
01/04/2014;4.840,15;4.796,16;4.933,11;4.721,60;76,67B;+1.51%
01/03/2014;4.768,28;4.589,62;4.903,50;4.567,76;87,28B;+3.20%
01/02/2014;4.620,22;4.407,00;4.665,27;4.320,78;69,94B;+4.56%
01/01/2014;4.418,76;4.294,49;4.510,22;4.161,19;58,07B;+3.38%
